doc_id,participant,content,Turn,lemmas,PoS,LexicalAlignmentTokens,LexicalAlignmentLemmas,SyntacticAlignment2,SyntacticAlignment3,SyntacticAlignment4,SemanticAlignment
4,B,oh um okee het is laat maar zeggen dat hoofdplatform ,1,oh um okee het zijn laat maar zeggen dat hoofdplatform,ADJ ADJ NUM PRON AUX ADJ ADV VERB SCONJ NOUN,NA,NA,NA,NA,NA,NA
4,A,ja,2,ja,INTJ,0,0,0,0,0,0.6647304867083036
4,B,um met daaromheen uit- een uitsteek- steeksel aan de linkerkant,3,um met daaromheen uit- een uitsteek- steeksel aan de linkerkant,ADJ ADP ADV X DET X NOUN ADP DET NOUN,0,0,NA,NA,NA,0.32771970605869166
4,A,ja,4,ja,INTJ,0,0,0,0,0,0.32771970605869166
4,B,het is een rond uitsteeksel,5,het zijn een rond uitsteeksel,PRON AUX DET ADP NOUN,0,0,NA,NA,NA,0.27767216410892925
4,A,staan er twee streepjes op dat dingetje?,6,staan er twee streep op dat dingen ?,VERB ADV NUM NOUN ADP DET NOUN PUNCT,0,0,NA,NA,NA,0.7401437424331545
4,B,nee één,7,nee één,INTJ NUM,0,0,NA,0,0,0.4993374635739938
4,A,oh (#m#),8,oh ( #m# ),NOUN PUNCT NOUN PUNCT,0,0,NA,0,0,0.32494604582585546
4,B,en dan boven steekt dus laat maar zeggen zo'n ja op de kop zo'n kegel uit (en) daarachter een cirkel zit daaraan vastgebonden,9,en dan boven steekt dus laten maar zeggen zo'n ja op de kop zo'n kegel uit ( en ) daarachter een cirkel zitten daaraan vastgebonden,CCONJ ADV ADP VERB ADV VERB CCONJ VERB PRON INTJ ADP DET NOUN DET NOUN ADP PUNCT CCONJ PUNCT ADV DET NOUN VERB ADV NOUN,0,0,NA,NA,NA,0.39556047935195543
4,A,even kijken hoe was het platformpje met twee pootjes?,10,even kijken hoe zijn het platform met twee poo ?,ADV VERB ADV AUX DET NOUN ADP NUM NOUN PUNCT,0,0,0.4374999999999999,0.08247860988423225,NA,0.764193094700799
4,B,nee dus het staat op ja nee het staat dus op een ja uh ja zo'n rond ja kijk zo zo'n rond opzetstukje het is een ja,11,nee dus het staan op ja nee het staan dus op een ja uh ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn een ja,INTJ ADV PRON VERB ADP INTJ INTJ PRON VERB ADV ADP DET INTJ ADV INTJ PRON ADP INTJ VERB ADV PRON ADP NOUN PRON AUX DET INTJ,0.12216944435630522,0.20361574059384205,0.16366341767699427,NA,NA,0.5973684546243601
4,A,ook niet ja,12,ook niet ja,ADV ADV INTJ,0.3526728079292991,0.3526728079292991,0.10910894511799617,NA,0,0.9222110461053201
4,B,het is niet een cirkel maar langwerpig soort,13,het zijn niet een cirkelen maar langwerpig soort,PRON AUX ADV DET NOUN ADV ADJ NOUN,0.20412414523193148,0.20412414523193148,NA,NA,NA,0.6280837191905255
4,A,je hebt zeg maar de hoofdbak bij elk plaatje,14,je hebben zeggen maar de hoofdbak bij elk plaatje,PRON VERB VERB ADV DET NOUN ADP DET NOUN,0.1178511301977579,0.1178511301977579,0.35856858280031806,0.1543033499620919,NA,0.7616232175908665
4,B,ja en die staat op een ja die staat op een op op zo'n vorm,15,ja en die staan op een ja die staan op een op op zo'n vorm,INTJ CCONJ PRON VERB ADP DET NOUN PRON VERB ADP DET ADP ADP DET NOUN,0,0,0.558156305651438,0.17342199390482396,NA,0.7959044864606223
4,A,ja okee,16,ja okee,INTJ NOUN,0.23904572186687872,0.23904572186687872,NA,0,0,0.5769013453266975
4,B,en dan aan de zijkant aan de linkerkant,17,en dan aan de zijkant aan de linkerkant,CCONJ ADV ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.30902143834403784
4,A,ja,18,ja,INTJ,0,0,0,0,0,0.3149020150260557
4,B,um heb je een cirkel dat laat maar zeggen uitsteekt dus ja dit #laughs# ,19,um hebben je een cirkel dat laten maar zeggen uitsteekken dus ja dit #laughs #,ADJ AUX PRON DET NOUN PRON VERB CCONJ VERB VERB ADV INTJ DET NOUN PUNCT,0.2672612419124244,0.2672612419124244,NA,NA,NA,0.616248861260895
4,A,ja ja #laughs#,20,ja ja #laughs #,INTJ INTJ NOUN PUNCT,0.35856858280031806,0.35856858280031806,NA,NA,0,0.616248861260895
4,B,en daar bovenop een op een kegel op de kop,21,en daar bovenop een op een kegel op de kop,CCONJ ADV ADV DET ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.3407768086808109
4,A,ja,22,ja,INTJ,0,0,0,0,0,0.3407768086808109
4,B,en daarachter nog een uh cirkelplateau dat wel,23,en daarachter nog een uh cirkelplateau dat wel,CCONJ ADV ADV DET ADJ NOUN PRON ADV,0,0,NA,NA,NA,0.603836745753672
4,A,ja okee dan weet ik welke het is,24,ja okee dan weten ik welk het zijn,INTJ NUM ADV VERB PRON PRON PRON VERB,0,0,NA,NA,NA,0.8346032037045156
4,B,okee,25,okee,NOUN,0.35355339059327373,0.35355339059327373,0,0,0,0.5555150064033834
4,A,dat is nummer *5*,26,dat zijn nummer *5 *,PRON AUX NOUN SYM PUNCT,0,0,NA,NA,NA,0.31219861398761634
4,B,ja ik heb alleen maar a b c d,27,ja ik hebben alleen maar a b c d,INTJ PRON AUX ADV ADV X NOUN SYM VERB,0,0,0.40824829046386296,NA,NA,0.46059714165676957
4,A,ja volgens mij moet ik hem gewoon noemen en dan drukken #laughs#,28,ja volgens mij moeten ik hem gewoon noemen en dan drukken #laughs #,INTJ ADP PRON AUX PRON PRON ADJ VERB CCONJ ADV VERB NOUN PUNCT,0.19245008972987526,0.19245008972987526,0.10660035817780521,NA,NA,0.6553076138062066
4,B,oh zo #laughs#,29,oh zo #laughs #,ADJ ADV NOUN PUNCT,0.16666666666666669,0.16666666666666669,NA,NA,0,0.6586923753655304
4,A,ja dat is nummer *5*,30,ja dat zijn nummer *5 *,INTJ PRON AUX NOUN SYM PUNCT,0,0,NA,NA,NA,0.7658132892083931
4,B,#uh#,31,#uh#,NOUN,0,0,0,0,0,NaN
4,A,okee nou zie ik inderdaad een vierkant um ik heb dus uh die hoofdbak weer gewoon die je op elk plaatje ziet dan heb ik een soort ronde neus op de voorkant en daar ja dat noem ik maar even een piercing zit een staaf doorheen,32,okee nou zien ik inderdaad een vierkant um ik hebben dus uh die hoofdbak weer gewoon die je op elk plaat zien dan hebben ik een soort rond neus op de voorkant en daar ja dat noem ik maar even een piercing zitten een staaf doorheen,ADV ADV VERB PRON ADV DET ADJ NOUN PRON AUX ADV ADV PRON ADV ADV ADJ PRON PRON ADP DET NOUN VERB ADV AUX PRON DET NOUN ADJ NOUN ADP DET NOUN CCONJ ADV INTJ PRON VERB PRON ADV ADV DET NOUN VERB DET NOUN ADP,0,0,NA,NA,NA,NaN
4,B,ja,33,ja,INTJ,0.11470786693528087,0.11322770341445956,0,0,0,0.5953131506428387
4,A,en aan de rechterkant van die staaf zit een cirkeltje,34,en aan de rechterkant van die staaf zitten een cirkel,CCONJ ADP DET NOUN ADP DET NOUN VERB DET NOUN,0,0,NA,NA,NA,0.2689668790540359
4,B,je hebt een cirkelplateau aan de voorkant?,35,je hebben een cirkelplateau aan de voorkant ?,PRON VERB DET NOUN ADP DET NOUN PUNCT,0.35856858280031806,0.35856858280031806,0.8574929257125441,0.7071067811865475,0.3779644730092272,0.8780375530792932
4,A,uh nee ik heb geen plateau ik heb dus gewoon de de bak,36,uh nee ik hebben geen plateau ik hebben dus gewoon de de bak,ADV INTJ PRON VERB DET NOUN PRON AUX ADV ADJ DET DET NOUN,0.17342199390482396,0.3468439878096479,0.5669467095138409,0.26967994498529685,0.15811388300841897,0.7799846375634307
4,B,ja,37,ja,INTJ,0,0,0,0,0,0.6535086755224246
4,A,um met een ronde neus een rond een soort ei eigenlijk,38,um met een rond neus een rond een soort eus eigenlijk,ADJ ADP DET ADJ NOUN DET ADP DET NOUN VERB ADJ,0,0,NA,NA,NA,0.2689682001485245
4,B,ja,39,ja,INTJ,0,0,0,0,0,0.2689682001485245
4,A,aan de voorkant van die bak,40,aan de voorkant van die bak,ADP DET NOUN ADP DET NOUN,0,0,NA,NA,NA,0.1881267428977593
4,B,ja,41,ja,INTJ,0,0,0,0,0,0.1881267428977593
4,A,en door dat ei zit een uh staaf gewoon een ja een uh een staaf erdoorheen,42,en door dat eus zitten een uh staaf gewoon een ja een uh een staaf erdoorheen,CCONJ ADP DET NOUN VERB DET NOUN VERB ADJ DET INTJ DET NOUN DET NOUN ADV,0.17677669529663687,0.17677669529663687,NA,NA,NA,0.6586269702639329
4,B,oh ja,43,oh ja,ADJ INTJ,0.12499999999999997,0.12499999999999997,NA,0,0,0.6624785982028171
4,A,en dan aan de rechterkant van die staaf zit een cirkeltje opgeplakt ,44,en dan aan de rechterkant van die staaf zitten een cirkel opgeplken,CCONJ ADV ADP DET NOUN ADP DET NOUN VERB DET NOUN VERB,0,0,NA,NA,NA,0.265299333783663
4,B,oh ja ik heb het *f* um ik heb dus ja je hebt dus telkens dat hoofdplateau (platform) um aan de zijkant het um wacht laat ik zo beginnen het zit door een vierkant plateau heen dat vierkant is um ja dun en dat zit er laat maar zeggen doorheen n- en dat vierkant zit niet op in het midden van het hoofdplateau uh -form maar een beetje aan de onderkant want daarboven steekt aan de linkerkant een rechthoek met een puntje daar bovenop uit,45,oh ja ik hebben het *f* um ik hebben dus ja je hebben dus telkens dat hoofdplateau ( platform ) um aan de zijkant het um wachten laten ik zo beginnen het zitten door een vierkant plateau heen dat vierkant zijn um ja dun en dat zitten er laten maar zeggen doorheen n- en dat vierkant zitten niet op in het midden van het hoofdplateau uh -form maar een beetje aan de onderkant want daarboven steekt aan de linkerkant een rechthoek met een punt daar bovenop uit,ADJ INTJ PRON AUX DET NOUN NOUN PRON AUX ADV INTJ PRON VERB ADV ADV DET NOUN PUNCT NOUN PUNCT NOUN ADP DET NOUN DET NOUN VERB VERB PRON ADV VERB PRON VERB ADP DET ADJ NOUN ADP PRON ADJ AUX ADJ INTJ ADJ CCONJ PRON VERB ADV VERB CCONJ VERB ADP X CCONJ PRON ADJ VERB ADV ADP ADP DET NOUN ADP DET NOUN ADV NOUN CCONJ DET NOUN ADP DET NOUN CCONJ ADP NOUN ADP DET NOUN DET NOUN ADP DET NOUN ADV ADV ADP,0.3359684204526464,0.3324686539693531,0.7064547692625657,0.48168766908288246,0.28097574347450816,0.8412995059118216
4,A,hm hm,46,hm hmen,ADV VERB,0,0,0.11359236684941296,0,0,0.33349727269992285
